Local Hospital/Surgery,Contact No for bloods,Comments,tAC,
Yorkhill,,,,
East Surrey,,,,
Hillingdon ,,,,
Whittington ,,,,
Southampton,01590 672212,Mycophenolate levels faxed to us,,
Barnet,,,,
Pembury / Maidstone if blds taken at GP surgery,,,,
Peterborough ,,tac & siro KINGS,Sirolimus tested at Harefield Hospital,
North Middlesex,,,,
St Helier,,,,
West Middlesex ,,,,
GP ,,,,
,,,,
GP ,,,,
MALTA - MUM EMAILS,,,,
Poole,,,,
Singleton ,,,Cardiff,
royal alex brighton,,,,
,,,,
Isle of Wight,,,,
Singleton ,,,,
Whittington ,,,,
Dorset County,,,,
St Georges ,,,,
Alder Hey ,,,,
Great Western,,,,
?Noriwch and Norfolk/Queen Eliz Kings Lynn,,,,
North Hampshire ,,,,
West Suffolk ,,,,
Colchester,,,,
Frimley Park ,,,,
GP (Lewisham),,,,
Queens Romfor d,,,,
Milton Keynes ,,,,
Addenbrookes,swab sent to Bedford,,,
,,,,
UCL ,,,,
GP,,,,
PETERBOROUGH ,,,IN-HOUSE PETERBOROUGH biochem x8455,
Peterborough ,,,,
GP,,,,
Barnett,,,,
Yorkhill ,,,,
Ryl Berks but if blds from GP goes to Wexham,,,Kings,
HILLINGDON (Lorna),,,,
Hillingdon ,,,,
KCH,,,,
,,,,
UCLH,,,,
COLCHESTER,01206 747474,EBV sent to KINGS,kings,
Peterborough ,,,,
Chelsea & Westminster ,,,,
Northwick Park ,,,,
GP/Brighton ,,,,
EMAIL,,,,
POOLE,,,Bournemouth,
,,,,
EAST SURREY,,,,
Carshalton Queen Mary's,St Helier 40983505,,,
Outreach,,,,
Homerton ,,,,
Kent & Canterbury ,,,,
Hamps Basingstoke,,,kings,
Bristol ,,,,
KCH,,,,
Hillingdon ,01895279285      TAC LEVEL SENT TO HAREFIELD- 01895828570  Lorna,,,
Barnet / Chase Farm 12007506,,,,
RAIGMORE CHI: 0610030841 Hosp no: R519476H,,,,
Portsmouth ,,,,
Watford ,,,,
MEDWAY,,,Kings,
North Middx,,,,
Hillingdon,,,,
GP,,,,
Frimley Park ,"01276 604247 Frimley park Michelle Forward, secretary to Dr Betterridge & Dr Williams",,,
,,,,
Wexham Park,,,,
Royal Alexandra Brighton ,,,,
SOUTHAMPTON,,,,
Chelsea & Westminster ,,,,
Kent & Canterbury ,,,,
? Blackpool,,,,
,,,,
Wexham Park,,,Kings,
Kingston ,,,,
medway,,,,
,,,,
Lister,,,,
,,,,
sidcup,,,,
Derriford ,,,,
King George ,,,Kings,
Great Western / GP ,,,,
simeon1960@gmail.com Raigmore,,,,
Royal Aberdeen childrens hospital,Gastro nurses Carol Cameron/Brnda Smart,,,
Raigmore  ,,,,
Guernsey,,,KINGS,
Guernsey,,,KINGS,
Royal Free,,,,
Wexham Park,,,,
Hillingdon / GOSH,,,,
Royal Hamsphire,,,,
Bury St Edmunds usually but sometimes Ipswich,,,,
Margate,,,,
 Frimley park,,,,
Woolwich,,,,
KING GEORGE,,,,
Northwick Park ,,,,
Wexham Park,,,,
West Middlesex ,,,,
Homerton ,,,,
,,,,
St Georges / Mayday ,,,,
Royal Surrey (Frimley Park),,,,
Royal Free/Barnet,,,,
Lister/QE2 Welwy Gdn,,,,
?Ryl Brompton,,,,
Aberdeen ,,,,
Norfolk & Norwich,,,,
? ,,,,
Pembury,,,,
St Heiler ,,,,
 ,? Lost to f/u   ,,,
,,,,
Gloucester ,,,,
St Heliers,,,,
ROYAL ALEXANDRA BRIGHTON,,,,
FRIMLEY PARK ,,,,
Royal Berkshire ,,,,
Croydon ,,,,
KCH,,,,
King George ,,,,
Croydon ,,,,
,,,,
Eastbourne district gen hospital,,"carer says blds are done at:The Conquest, Hastings",Harefield,
Croydon ,,,,
Royal London ,,,,
Whittington ,,,,
Croydon ,,,,
Norfolk,,,,
Chelsea & Westminster ,,,,
,,,,
KCH,,,,
Chase Farm ,,,,
Northwick Park ,,,,
Ryl Berks/RAIGMORE,,,,
West Middlesex ,020 8321 5931  02083215925  nice lady    biochem-ext-5930,,,
Royal Free,,,,
Maidstone,,,,
,,,,
East Surrey,,,KINGS,
Greece,,,,
Medway,,,,
Wexham,,,,
,,,,
Hillingdon ,,,,
QEQM - MARGATE,,,,
Royal Surrey,,,,
gp will fax,,,,
MAYDAY (Croydon),,,,
Queens Romford /Redbridge CCN ,,,,
GP will email us,,,,
Scotland O/R,,,,
Royal United Bath / Bristol,,,Southmead,
Ipswich Hospital pt no: 6443250397,,,Bristol,
Lister,,,,
KCH,,,,
GREAT WESTERN,,,,
Wexham Park 1652344,,,Kings,
Epsom & St Heiler ,,,,
,,,,
CCN / IPSWICH ,,,,
Lewisham (not gosh),,,,
East Surrey Hospital,,,,
KCH,,,,
North Middlesex,,,,
Whipps Cross,,,Ryl London,
St Marks Middlesex,,,,
St Peters / GP is good will fax over straight away,,,,
Chelsea & Westminster ,,,,
Southend / ?Royal Free,,,,
Croydon ,,,,
ST PETERS CHERTSEY,,,,
POLAND,,,,
Luton  61111772,,,,
Colchester,,,,
?Homerton ? GOS ,,,,
KCH,,,,
Luton,,,,
Wexham,,,KING'S,
,,,,
Newham ,,,,
Lewisham / GP ,,,,
ORSETT HOSPITAL (Basildion & Thurrock),,,,
St Georges,,,,
Wexham Park,,,,
Royal Free,,,,
Peterborough,,,,
KCH,,,,
Luton & Dunstable /Cambridge CCN emails to Lisa,,,KINGS/Harefield,
High Wycombe ,,,,
NHS Grampian,,,,
Aberdeen kai: 1602020949,,,,
Milton Keynes ,,,,
Royal Cornwall,,Derriford,,
O/R Scotland,,,,
Queens Romfor d,,Kings,,
North Middlesex,,,,
North Middlesex,,,,
KCH,,,,
QE woolwich,,,,
Hammersmith /  Acton Health ctr who sends it to Hillingdon Hospital,,,,
Queens Romfor d,,,,
Barnett,,,,
Lewisham / KCH ,,,,
St Peters ,,,,
QEII ,,,,
St Mary's London W2,,,,
Medway ,,,,
East Surrey,,,,
BARNET,,,,
UCLH ,,,,
North Middlesex/GOSH,,,,
Medway ,,,,
Loxford GP surgery (email is best),REDCCG.Y02987discharge@nhs.net,,,
Queen Mary Carshalton ,,,,
Chelsea & Westminster ,,,,
? KCH OR QUEEN ELIZABETH WOOLWICH ,,,,
North Middlesex ,,,,
Chase Farm ,,,,
GP,,,,
Bedford ,,,,
East Surrey ,,,,
Lister,,,,
Brighton ,,,,
Croydon ,,,,
Newham ,,,,
Royal London ,,,,
Royal London ,,,,
Lincoln County,,,,
O/R Scotland,,,,
Basildon ,,,,
Royal Hampshire ,,,,
NHS Tayside,,,,
Bedford ,,,,
Kingsmill ,,,Kingsmill,MMF sent to St Thomas'
,,,,
Whipps Cross,,,,
Croydon ,,,,
,,,,
Luton,,,,
KCH,,,,
Bedford ,,,,
YORK ,,,YORK results ready next day,
GP,,,,
Whipps Cross,,,,
Chelsea & Westminster ,,,,
Southend,,,,
Northwick Park ,,,,
Watford ,,,,
GOSH ,,,,
FRIMLEY PARK ,GP faxes within a few days,,,
Kingston ,,,,
Luton,,,,
Royal Berkshire ,,,,
Great Western,,,,
Worthing,,,,
Royal Free,,,,
St Georges ,,,,
GP / St Georges ,,,,
"PRINCESS ALEXANDRA, HARLOW ",,,,
Poole,,,,
Lister,,,,
Derriford ,,,,
PRUH ,,,,
Musgrove,,,,
Royal Hampshire,,,,
Royal Hospital Chesterfield,,,,
Ealing,,,,
Broomfield ,,,,
Royal Surrey,,,,
Basingstoke ,,,,
Raigmore ,,,,
Colchester,,,,
Jenner Practice/QE Woolwich,send fax request: 0203 049 2961,,,
? Colchester /  Queens Romford,,,,
Bristol ,,,Bristol ,
QEII,,,,
Royal London ,,,,
St Mary's  ,TAC = Lesley Brent Laboratory 02033136637 Hammersmith Hsptl,,,
KCH ,,,,
Northwick Park ,,,,
GP,,,,
ABERDEEN,,,,
Darent Valley,,,,
Northwick Park ,0208 869 3000,,,
Queen Mary's Sidcup ,,,,
West Middlesex ,,,,
Great Western ,,,,
WORTHING,,,,
Ipswich ,,,,
Medway,,,,
Basildon ,,,,
East Surrey,,,,
Whipps Cross,2085356464,,,
Whipps Cross,2085356464,,,
Kent & Canterbury ,,,,
Medway ,,,,
Queen Mary's Sidcup ,,,,
Medway ,,,,
Keele GP practice as she is now at Keele University,,,,
Croydon (adult),,,,
Derriford f350351,,,KINGS,
Outreach - Singleton ,,,,
Lister,,,,
 William Harvey pathology reception: 01227 864 151,,,,
EAST SURREY,East Surrey CCN Sarah Thompson Tel 01737 214 784,,,TAC comes to KINGS
KCH ,,,,
Croydon ,,,,
Weston General ,,,,
Luton ,,"quick turnaround, call in two days",,
